,A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
0,52,-30,79,0,0,0,27,79,52,1
1,90,-40,107,0,64,-28,17,42,26,1
2,70,-30,107,0,60,-13,37,47,10,1
3,71,-33,107,0,60,-21,36,47,12,1
4,37,-85,77,0,20,0,40,57,16,1
5,46,-49,77,0,-2,0,31,79,48,1
6,81,-5,84,0,-22,-6,4,108,104,0
7,103,-1,104,-4,72,10,1,31,30,0
8,86,5,89,0,2,-5,3,86,84,0
9,106,0,108,-3,70,-4,1,38,36,0
10,79,0,83,0,-46,-29,4,130,126,0
11,83,0,87,0,-40,0,4,128,124,0
12,84,-3,88,0,6,0,5,83,78,0
13,101,5,102,0,72,14,1,29,28,0
14,79,-1,83,-10,436,6339,4,-353,-356,0
15,105,1,106,0,70,-3,1,36,34,0
16,108,0,108,-6,72,7,1,36,36,0
17,102,-4,104,0,70,0,1,34,32,0
18,82,-1,86,0,-12,0,4,99,94,0
19,103,2,105,9,70,0,2,35,34,0
20,105,-5,106,-7,70,0,1,36,34,0
21,102,0,103,0,70,-25,1,33,32,0
22,81,0,84,0,-20,24,4,105,102,0
23,80,1,84,0,-36,0,4,121,116,0
24,82,0,86,0,-12,-9,3,99,96,0
25,101,0,102,0,72,38,1,30,28,0
26,85,1,88,0,0,-1,3,88,86,0
27,80,1,84,3,-42,-26,5,128,124,0
28,85,0,88,0,0,-9,3,88,86,0
29,76,-5,80,0,-40,0,4,121,116,0
30,82,-1,86,0,-2,25,3,88,84,0
31,106,2,108,8,70,-30,2,38,36,0
32,106,-2,108,0,70,0,1,38,36,0
33,81,-5,86,0,-22,0,4,109,104,0
34,76,3,80,0,-40,0,4,121,118,0
35,84,0,88,0,-2,-19,3,90,88,0
36,82,0,87,1,-40,4,5,128,124,0
37,101,0,102,0,72,15,1,29,28,0
38,85,0,88,4,6,0,3,83,80,0
39,78,1,82,4,-42,0,4,126,122,0
40,78,5,81,0,-42,0,4,125,122,0
41,83,0,86,0,-4,19,3,92,88,0
42,102,0,103,3,72,25,1,31,30,0
43,106,4,108,2,70,0,1,38,36,0
44,83,0,86,0,-4,-12,3,92,88,0
45,81,0,86,6,-40,6,5,127,122,0
46,84,0,87,-6,0,2,3,87,84,0
47,84,0,88,1,0,0,3,88,84,0
48,82,2,86,0,-22,10,4,109,106,0
49,102,5,104,4,70,-2,1,34,32,0
50,80,-5,84,-6,-40,1,4,126,122,0
51,107,0,108,1,72,8,1,36,34,0
52,77,2,81,0,-42,0,4,125,122,0
53,76,-3,81,0,-40,18,5,122,116,0
54,107,4,108,-1,70,-1,1,38,36,0
55,82,0,86,0,-10,0,4,96,92,0
56,102,2,102,0,70,-5,1,33,32,0
57,102,0,103,2,70,-6,1,33,32,0
58,84,1,87,0,-2,0,3,90,86,0
59,105,0,106,8,70,0,2,36,34,0
60,82,3,86,5,-40,0,5,128,124,0
61,79,-1,83,0,-40,0,4,125,120,0
62,84,0,88,0,2,0,3,85,82,0
63,81,1,86,0,-40,2,4,127,122,0
64,102,0,103,0,72,13,1,31,30,0
65,79,0,83,0,-40,0,4,124,120,0
66,85,-4,88,0,2,2,3,86,82,0
67,82,1,86,3,-40,5,5,128,124,0
68,85,-1,88,0,2,-8,3,86,82,0
69,102,0,103,3,70,-1,1,33,32,0
70,85,0,88,0,2,17,3,86,82,0
71,102,0,103,0,70,-10,1,33,32,0
72,76,2,81,0,-40,0,4,122,118,0
73,76,0,80,-5,-40,0,4,121,118,0
74,85,0,88,-587,0,0,3,88,84,0
75,85,0,88,0,6,-1,3,83,80,0
76,106,0,107,-1,72,3,1,35,34,0
77,76,0,80,-7,-42,-11,4,124,120,0
78,123,1409,105,1,36,-5,-18,69,86,0
79,82,0,85,0,-6,17,3,93,90,0
80,80,4,84,0,-28,0,4,112,108,0
81,84,-2,88,0,6,0,4,83,78,0
82,80,1,84,0,-28,-6,4,112,108,0
83,85,0,88,0,2,21,3,86,82,0
84,82,0,85,0,-10,-17,3,95,92,0
85,84,-1,88,-3,-2,-13,3,90,88,0
86,85,0,88,0,2,-26,3,86,82,0
87,85,0,88,0,0,-17,3,88,86,0
88,76,2,81,-4,-42,-1,5,125,120,0
89,82,0,87,2,-40,7,5,128,124,0
90,80,0,85,5,-40,8,5,126,122,0
91,106,4,107,2,70,0,1,37,36,0
92,107,-1,108,-1,72,16,1,36,34,0
93,84,0,88,-2,6,-6,5,83,78,0
94,104,0,105,0,72,11,1,33,32,0
95,81,0,84,2,-14,0,4,100,96,0
96,123,275,105,0,36,-2,-18,69,86,0
97,81,5,84,0,-20,0,4,105,102,0
98,84,9,89,0,6,-9,5,84,78,0
99,80,0,84,1,-28,0,4,112,108,0
100,107,0,108,7,70,0,1,38,36,0
101,81,1,86,0,-40,5,4,127,122,0
102,80,3,84,0,-42,0,4,128,124,0
103,85,0,88,-7,0,0,3,88,84,0
104,84,0,88,0,0,18,3,88,84,0
105,102,-1,104,0,72,12,1,31,30,0
106,79,0,83,0,-28,21,4,112,108,0
107,102,-1,104,0,70,0,1,34,32,0
108,80,-1,84,-6,-36,0,4,120,116,0
109,79,0,83,0,-30,-8,4,114,110,0
110,103,4,104,8,70,0,1,35,34,0
111,82,-5,87,0,-40,0,5,128,124,0
112,79,-1,83,-2,-40,3,4,124,120,0
113,101,0,102,0,72,4,1,29,28,0
114,74,3,79,7,-42,0,4,123,118,0
115,79,0,83,0,-28,27,4,112,108,0
116,106,-3,107,-5,72,0,1,35,34,0
117,78,1,82,1,-40,7,4,123,120,0
118,103,5,104,-1,70,-2,1,35,34,0
119,74,8,78,10,-42,-2,4,122,118,0
120,82,-2,86,0,-10,1,4,96,92,0
121,104,5,105,5,70,0,1,35,34,0
122,81,-1,85,-2,-40,0,4,126,122,0
123,83,2,86,0,-2,0,3,88,86,0
124,75,0,80,4,-42,0,5,124,120,0
125,85,0,88,0,2,-17,3,86,82,0
126,81,0,86,0,-40,2,4,127,122,0
127,84,0,88,0,-2,-12,3,90,88,0
128,104,0,105,0,70,0,1,35,34,0
