,Unnamed: 0,Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc,Class
0,0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,0
1,1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,0
2,2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,0
3,3,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,0
4,4,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,0
5,5,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,0
6,6,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,0
7,7,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,0
8,8,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,0
9,9,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22,0
10,10,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,0
11,11,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,0
12,12,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,0
13,13,0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,0
14,14,0.43,0.35,0.52,0.52,0.5,0.0,0.54,0.22,0
15,15,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,0
16,16,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,0
17,17,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,0
18,18,0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,0
19,19,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,0
20,20,0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,0
21,21,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,0
22,22,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,0
23,23,0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,0
24,24,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,0
25,25,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,0
26,26,0.46,0.38,0.47,0.22,0.5,0.0,0.52,0.27,0
27,27,0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,0
28,28,0.78,0.75,0.4,0.28,0.5,0.0,0.53,0.22,0
29,29,0.45,0.45,0.5,0.6,0.5,0.0,0.49,0.22,0
