,Unnamed: 0,Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc,Class
0,0,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,0
1,1,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,0
2,2,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,0
3,3,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,0
4,4,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,0
5,5,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,0
6,6,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,0
7,7,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,0
8,8,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,0
9,9,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,0
10,10,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,0
11,11,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,0
12,12,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,0
13,13,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,0
14,14,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,0
15,15,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,0
16,16,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,0
17,17,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,0
18,18,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,0
19,19,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,0
20,20,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,0
21,21,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,0
22,22,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,0
23,23,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,0
24,24,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,0
25,25,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,0
26,26,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,0
27,27,0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,0
28,28,0.42,0.47,0.52,0.41,0.5,0.0,0.53,0.32,0
29,29,0.36,0.46,0.62,0.46,0.5,0.0,0.51,0.33,0
30,30,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,0
31,31,0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,0
32,32,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,0
33,33,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,0
34,34,0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,0
35,35,0.42,0.35,0.54,0.18,0.5,0.0,0.56,0.22,0
36,36,0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,0
37,37,0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,0
38,38,0.27,0.6,0.48,0.23,0.5,0.0,0.55,0.22,0
39,39,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,1
40,40,0.41,0.4,0.59,0.47,0.5,0.0,0.48,0.43,0
41,41,0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,0
42,42,0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,0
43,43,0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,0
44,44,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,0
45,45,0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,0
46,46,0.39,0.47,0.56,0.16,0.5,0.0,0.47,0.22,0
47,47,0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,0
48,48,0.59,0.48,0.5,0.14,0.5,0.0,0.45,0.25,0
49,49,0.39,0.55,0.48,0.31,0.5,0.0,0.54,0.29,0
50,50,0.44,0.39,0.53,0.14,0.5,0.0,0.54,0.44,0
51,51,0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,0
52,52,0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,0
53,53,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,0
54,54,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,0
55,55,0.54,0.49,0.49,0.2,0.5,0.0,0.52,0.22,0
56,56,0.48,0.61,0.44,0.2,0.5,0.0,0.47,0.22,0
57,57,0.66,0.45,0.5,0.23,0.5,0.0,0.49,0.22,0
58,58,0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27,0
59,59,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,1
60,60,0.39,0.4,0.53,0.67,0.5,0.0,0.47,0.22,0
61,61,0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,0
62,62,0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,0
63,63,0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,0
64,64,0.43,0.57,0.53,0.53,0.5,0.0,0.53,0.25,0
65,65,0.48,0.64,0.61,0.23,0.5,0.0,0.6,0.22,0
66,66,0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,0
67,67,0.32,0.57,0.5,0.15,0.5,0.0,0.53,0.22,0
68,68,0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22,0
69,69,0.59,0.5,0.52,0.28,0.5,0.0,0.55,0.25,0
70,70,0.37,0.42,0.51,0.11,0.5,0.0,0.57,0.22,0
71,71,0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,0
72,72,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,0
73,73,0.35,0.66,0.49,0.21,0.5,0.0,0.54,0.25,0
74,74,0.52,0.4,0.6,0.12,0.5,0.0,0.55,0.22,0
75,75,0.57,0.41,0.59,0.24,0.5,0.0,0.4,0.22,0
76,76,0.56,0.41,0.58,0.21,0.5,0.0,0.42,0.22,0
77,77,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,1
78,78,0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,0
79,79,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,0
80,80,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,0
81,81,0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,0
82,82,0.2,0.26,0.52,0.14,0.5,0.0,0.53,0.44,0
83,83,0.51,0.53,0.55,0.14,0.5,0.0,0.51,0.22,0
84,84,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,1
85,85,0.38,0.48,0.59,0.22,0.5,0.0,0.46,0.22,0
86,86,0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,0
87,87,0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,0
88,88,0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,0
89,89,0.39,0.45,0.53,0.18,0.5,0.0,0.54,0.22,0
90,90,0.52,0.54,0.5,0.21,0.5,0.0,0.48,0.3,0
91,91,0.55,0.46,0.53,0.11,0.5,0.0,0.52,0.48,0
92,92,0.45,0.56,0.54,0.32,0.5,0.0,0.57,0.22,0
93,93,0.45,0.56,0.53,0.32,0.5,0.0,0.57,0.22,0
